source_id,role,authority,url_or_path,cached_evidence,last_verified_at,refresh_rule,runtime_use,notes
polywx_reference,UI and field-density benchmark,reference only,https://www.polywx.xyz/,audits/polywx-benchmark-2026-07-17-1312,2026-07-17,refresh after 14 days or a visible contract change,false,Never write PolyWX display values into trading truth
polymarket_gamma,market and event metadata,official,https://gamma-api.polymarket.com,SQLite polymarket_events and market_buckets,,verify before market-contract changes,true,Rules station date buckets and market URL
polymarket_clob,quotes orderbook and execution constraints,official,https://clob.polymarket.com,SQLite orderbook snapshots,,verify before execution-contract changes,true,Live remains disabled
awc_metar,current airport observations,official,https://aviationweather.gov/api/data/metar,SQLite metar_reports,,verify when API or parser contract changes,true,Intraday evidence not final WU settlement truth
iem_asos,METAR archive and settlement approximation,official archive,https://mesonet.agron.iastate.edu/cgi-bin/request/asos.py,D:/WeatherBot/data/iem_asos_raw,,verify when archive parser changes,true,Approximation only unless rule evidence says otherwise
wunderground_history,non-HK historical and settlement-truth candidate,rule-aligned provider,https://api.weather.com/v3/wx/observations/historical/daily,SQLite truth_wunderground_daily and hourly history,,verify when entitlement or response schema changes,true,Failure must remain explicit
hko_daily_extract,Hong Kong settlement truth,official,https://www.hko.gov.hk/cis/dailyExtract/,SQLite truth_hko_daily,,verify when HKO format changes,true,Hong Kong only
weathercom_v3,display forecast and DEB component,provider API,https://api.weather.com/v3/wx/forecast/hourly/15day,SQLite forecast_runs and forecast_members,,verify when entitlement or response schema changes,true,Requires local secret
openmeteo_models,independent NWP and ensemble inputs,provider API,https://api.open-meteo.com/v1/forecast,SQLite forecast_runs and forecast_members,,verify when model identifiers or API contract change,true,Includes ECMWF GFS ICON GEM JMA and regional models
wunderground_pws,nearby real-time trend evidence,provider API,https://api.weather.com/v2/pws/observations/current,SQLite mesonet_observations,,verify when entitlement or station selection changes,optional,Display and peak-lock evidence only
china_live,China and HKO supplementary observations,official or public provider,weatherbot_v3/china_weather.py,SQLite mesonet_observations,,verify per station or parser change,optional,Not settlement truth unless the market rule explicitly matches
